MLOGP,RDCHI,quantitative response of LC50
2.746,1.667,3.809
3.77,3.091,4.01
2.06,2.06,3.08
3.958,2.488,3.575
5.4,3.936,8.112
4.548,3.101,4.56
2.127,1.924,4.426
0.821,3.06,2.533
4.068,2.758,5.979
3.562,2.119,4.317
4.203,1.997,5.47
3.124,1.8,4.34
6.728,4.392,6.537
0.202,1.225,0.673
3.314,2.027,4.495
2.459,1.475,4.002
3.617,2.074,5.76
2.59,2.546,3.601
1.969,2.168,4.489
1.643,2.09,3.068
2.066,2.284,3.711
1.442,1.84,4.039
-0.172,2.629,3.839
1.817,1.43,2.018
2.086,2.455,3.047
6.47,2.821,8.44
-5.199,4.3,3.077
2.419,1.225,3.74
5.165,3.111,6.219
1.579,2.397,4.437
4.416,2.57,5.422
2.843,3.244,4.022
3.945,2.344,5.5
2.378,2.472,3.474
1.228,3.039,3.025
0.996,1.723,2.827
2.842,2.141,4.611
3.265,2.134,6.131
4.761,3.537,4.307
1.859,1.918,5.168
0.787,2.266,5.551
3.11,2.154,4.251
3.988,3.169,7.478
-0.317,1.225,0.495
0.957,5.839,4.566
1.364,1.334,6.102
1.887,2.048,3.615
3.374,3.061,3.599
3.907,3.934,9.063
1.57,2.644,4.91
1.358,3.325,3.277
1.126,3.536,3.594
0.198,1.782,4.906
2.127,1.908,5.19
1.272,2.473,4.733
-0.049,1.155,4.56
-0.917,1.84,2.957
1.648,2.689,7.037
5.208,3.691,6.383
3.956,3.123,5.37
4.579,3.875,7.693
0.586,1.577,3.16
3.395,2.692,5.433
3.051,2.727,4.851
2.288,2.848,3.22
5.453,2.887,6.723
-0.234,1.975,3.716
3.692,3.883,6.756
2.239,2.334,3.718
4.268,3.164,7.087
1.748,2.377,4.79
0.59,1.909,3.85
2.682,2.903,9.141
2.702,2.626,6
0.59,1.7,2.232
2.509,2.119,4.31
-0.317,1.155,1.057
1.662,5.831,3.884
2.957,1.509,4.186
0.787,2.223,2.899
0.198,1.975,5.47
3.945,2.324,5.009
2.729,1.979,5.16
4.19,2.225,7.012
6.47,2.805,8.78
3.696,3.117,5.17
1.294,2.203,3.476
-0.172,1.155,2.958
2.014,3.767,4.333
1.442,1.509,2.576
0.057,2.093,6.964
2.255,1.8,2.48
1.859,1.924,3.71
1.971,2.52,8.207
-0.665,1.726,3.589
2.723,2.321,7.337
0.8,1.509,1.73
2.031,2.679,6.447
-0.812,2.478,7.378
4.416,2.605,5.626
3.18,3.292,4.992
4.332,2.7,5.406
1.859,1.989,5.79
4.091,3.568,5.19
3.267,2.119,5.373
3.478,1.908,4.787
1.246,2.046,3.48
3.988,3.047,4.121
2.347,3.243,3.917
0.996,1.746,3.358
2.736,2.183,5.527
2.604,1.559,3.655
-0.875,3.595,6.43
2.729,1.975,4.797
0.734,2.548,3.25
-0.139,4.73,3.277
0.796,1.84,6.251
1.971,2.472,3.52
3.115,2.706,6.075
3.876,2.614,5.597
-0.31,1.918,4.221
3.259,1.975,4.53
2.851,2.176,3.357
2.876,1.857,3.918
1.473,2.241,4.072
2.638,1.401,4.33
0.567,2.239,2.668
0.096,2.964,3.508
3.558,1.978,6.72
-0.273,1.475,3.392
2.193,2.048,4.385
0.706,1.689,1.22
3.795,1.975,5.42
3.386,2.284,4.147
3.204,3.344,2.955
2.729,1.975,4.742
1.817,1.334,2.49
3.11,2.16,4.66
0.906,3.034,7.858
3.169,2.238,4.025
0.076,1.84,3.788
-1.204,2.214,3.177
1.651,2.785,3.072
4.579,3.875,8.067
4.27,3.354,6.212
4.588,2.744,6.19
-1.202,1.795,3.769
3.677,2.344,4.98
2.124,3.455,4.305
1.533,2.274,4.018
0.289,2.587,3.339
3.983,3.431,4.9
4.912,2.659,6.394
4.737,3.907,5.749
2.195,4.365,5.132
1.628,2.231,3.298
2.723,2.553,7.483
1.321,2.402,7.128
1.442,3.878,5.291
1.859,1.989,3.432
1.919,2.72,7.671
4.634,2.018,5.6
2.193,1.96,4.038
3.586,2.758,5.381
4.092,2.12,5.389
3.967,3.368,5.475
1.326,3.024,5.054
0.538,1.952,2.511
2.06,2.394,6.579
2.026,1.265,3.577
4.168,3.329,4.72
4.279,3.962,9.133
2.729,1.975,5.437
4.063,1.975,4.83
-0.317,1.155,0.55
1.466,2.15,2.937
3.562,2.281,5.548
0.332,2.706,2.072
2.081,1.401,3.485
2.226,1.265,3.718
1.838,2.611,3.155
5.989,2.733,6.989
1.667,2.031,4.462
1.06,2.272,4.216
-0.564,1.5,2.332
4.219,3.945,5.03
3.618,3.197,4.878
1.749,3.666,4.225
5.989,2.758,8.16
2.233,2.415,5.545
1.191,2.899,3.47
3.291,1.549,4.927
1.859,1.918,3.76
2.736,2.187,5.372
3.326,2.837,4.651
2.223,2.903,8.15
1.632,5.369,4.27
0.094,1.334,5.993
3.23,2.63,4.355
0.454,2.072,4.858
3.876,2.539,4.909
1.859,1.908,3.863
3.546,2.847,3.725
4.332,4.121,8.164
3.026,2.828,4.339
4.416,2.591,5.641
1.246,2.046,5.642
2.081,1.509,4.322
-1.053,1.334,3.358
2.942,1.989,4.502
-0.45,1.823,2.764
5.65,4.026,7.1
3.112,2.997,3.531
3.742,3.136,6.042
3.314,2.027,5.461
0.736,2.405,3.028
2.066,2.284,3.53
0.408,1.689,3.587
3.648,2.427,6.099
2.241,2.108,4.04
2.195,3.082,7.044
2.122,2.7,5.01
2.942,1.918,3.653
4.063,1.96,4.75
3.259,2.048,3.772
5.453,2.837,6.858
4.76,2.859,6.173
-0.321,6.439,4.779
4.76,2.995,6.027
1.262,2.147,2.272
4.405,2.456,6.399
2.241,2.119,4.01
3.168,4.055,6.389
1.364,1.155,2.659
2.481,2.133,2.348
1.929,3.197,4.187
2.509,2.108,3.84
4.833,2.913,6.36
2.226,1.509,2.608
1.936,3.852,8.028
3.374,2.118,3.522
1.209,1.43,3.002
2.942,1.908,3.791
3.275,2.661,5.636
2.66,2.408,3.618
0.036,4.758,4.602
4.761,3.273,5.551
2.942,1.924,3.524
1.671,3.501,3.742
2.193,2.134,5.46
2.201,3.83,6.424
2.892,3.487,3.619
3.314,2.018,5.43
3.429,2.749,5.3
3.185,2.93,4.485
2.359,2.527,4.39
0.586,1.577,2.09
2.869,3.095,6.188
2.265,2.344,4.032
-0.273,1.559,3.825
0.552,2.485,2.54
1.395,2.334,4.606
-0.081,1.577,2.959
1.769,1.989,3.976
4.76,2.868,6.281
1.115,1,4.632
-0.283,2.17,3.775
-0.081,1.768,3.758
3.169,2.224,4.756
1.246,2.031,4.011
1.586,2.674,4.823
3.33,2.281,6.54
4.366,2.031,5.55
0.845,1.155,5.562
2.273,2.478,3.331
1.886,2.287,3.591
4.214,2.687,6.21
0.139,2.748,2.359
3.477,1.857,4.819
3.617,2.074,5.61
-1.96,2.021,3.908
0.094,1.334,3.78
4.48,3.258,5.721
2.608,1.857,3.002
1.587,1.654,2.352
3.773,3.759,4.501
1.064,2.72,6.883
-0.463,2.434,5.12
0.868,3.59,2.626
1.947,2.005,3.061
2.821,2.502,3.078
2.087,3.468,4.652
-1.169,2.333,2.736
-0.937,2.299,0.46
1.672,1.225,3.28
1.789,3.373,3.432
0.559,2.137,3.669
1.587,1.84,2.778
3.84,3.373,4.257
0.977,3.191,2.506
